
File: Scarab, Resource 0, Type: CODE
Classic Jump Table Format; Above A5 size = $670, Below A5 size = $6A68
Jump Table length = $650, Offset from A5 = $20, 202 entries.
Entry   A5_Offset   Seg_Offset   Code
    1:   $000020     $000008     MOVE.W    #$0001,-(A7)	_LoadSeg  	; _start
   84:   $0002B8     $000000     MOVE.W    #$0015,-(A7)	_LoadSeg  	; ShowMap
   85:   $0002C0     $0002B4     MOVE.W    #$0015,-(A7)	_LoadSeg  	; doLegend
   86:   $0002C8     $00028E     MOVE.W    #$0015,-(A7)	_LoadSeg  	; doPrintMap
   87:   $0002D0     $00080A     MOVE.W    #$0015,-(A7)	_LoadSeg  	; MapFilter
   88:   $0002D8     $0003B8     MOVE.W    #$0015,-(A7)	_LoadSeg  	; PrintMap
   89:   $0002E0     $000000     MOVE.W    #$0016,-(A7)	_LoadSeg  	; firstaid
   90:   $0002E8     $000000     MOVE.W    #$0018,-(A7)	_LoadSeg  	; dart
   91:   $0002F0     $000062     MOVE.W    #$0018,-(A7)	_LoadSeg  	; gun
   92:   $0002F8     $000000     MOVE.W    #$001A,-(A7)	_LoadSeg  	; charcoal
   93:   $000300     $000126     MOVE.W    #$001E,-(A7)	_LoadSeg  	; StockMaze
   94:   $000308     $000000     MOVE.W    #$001E,-(A7)	_LoadSeg  	; code30-anon0
   95:   $000310     $000000     MOVE.W    #$000A,-(A7)	_LoadSeg  	; SetUpMenus
   96:   $000318     $000230     MOVE.W    #$000A,-(A7)	_LoadSeg  	; SetUpWindows
   97:   $000320     $0005BE     MOVE.W    #$000A,-(A7)	_LoadSeg  	; code10-anon0
   98:   $000328     $000724     MOVE.W    #$000A,-(A7)	_LoadSeg  	; code10-anon1
   99:   $000330     $00074A     MOVE.W    #$000A,-(A7)	_LoadSeg  	; TrapAvailable
  100:   $000338     $000782     MOVE.W    #$000A,-(A7)	_LoadSeg  	; WNEisImplemented
  101:   $000340     $000000     MOVE.W    #$0020,-(A7)	_LoadSeg  	; pole
  102:   $000348     $000000     MOVE.W    #$0027,-(A7)	_LoadSeg  	; lantern
  103:   $000350     $0000EC     MOVE.W    #$0027,-(A7)	_LoadSeg  	; droplantern
  104:   $000358     $000132     MOVE.W    #$0027,-(A7)	_LoadSeg  	; throwlantern
  105:   $000360     $000000     MOVE.W    #$002A,-(A7)	_LoadSeg  	; gold
  106:   $000368     $0000A0     MOVE.W    #$002A,-(A7)	_LoadSeg  	; throwgold
  107:   $000370     $000248     MOVE.W    #$002D,-(A7)	_LoadSeg  	; code45-anon0
  108:   $000378     $000062     MOVE.W    #$002D,-(A7)	_LoadSeg  	; trip
  109:   $000380     $00008C     MOVE.W    #$002D,-(A7)	_LoadSeg  	; speartrap
  110:   $000388     $0000DC     MOVE.W    #$002D,-(A7)	_LoadSeg  	; windtrap
  111:   $000390     $000140     MOVE.W    #$002D,-(A7)	_LoadSeg  	; darttrap
  112:   $000398     $000190     MOVE.W    #$002D,-(A7)	_LoadSeg  	; watertrap
  113:   $0003A0     $000000     MOVE.W    #$0004,-(A7)	_LoadSeg  	; key
  114:   $0003A8     $000098     MOVE.W    #$0009,-(A7)	_LoadSeg  	; GoDir
  115:   $0003B0     $0000F6     MOVE.W    #$0009,-(A7)	_LoadSeg  	; InBounds
  116:   $0003B8     $000188     MOVE.W    #$0009,-(A7)	_LoadSeg  	; leftof
  117:   $0003C0     $0001D0     MOVE.W    #$0009,-(A7)	_LoadSeg  	; rightof
  118:   $0003C8     $000218     MOVE.W    #$0009,-(A7)	_LoadSeg  	; reverseof
  119:   $0003D0     $000262     MOVE.W    #$0009,-(A7)	_LoadSeg  	; randdir
  120:   $0003D8     $0005CE     MOVE.W    #$0009,-(A7)	_LoadSeg  	; MyGrowWindow
  121:   $0003E0     $000726     MOVE.W    #$0009,-(A7)	_LoadSeg  	; SizeDestView
  122:   $0003E8     $0007A4     MOVE.W    #$0009,-(A7)	_LoadSeg  	; SizeScrollBars
  123:   $0003F0     $00081A     MOVE.W    #$0009,-(A7)	_LoadSeg  	; myGrowDrawIcon
  124:   $0003F8     $000CEE     MOVE.W    #$0009,-(A7)	_LoadSeg  	; code9-anon2
  125:   $000400     $000D0A     MOVE.W    #$0009,-(A7)	_LoadSeg  	; code9-anon3
  126:   $000408     $000D28     MOVE.W    #$0009,-(A7)	_LoadSeg  	; News
  127:   $000410     $000F26     MOVE.W    #$0009,-(A7)	_LoadSeg  	; Nameit
  128:   $000418     $001178     MOVE.W    #$0009,-(A7)	_LoadSeg  	; burnoil
  129:   $000420     $0011E4     MOVE.W    #$0009,-(A7)	_LoadSeg  	; oil
  130:   $000428     $001244     MOVE.W    #$0009,-(A7)	_LoadSeg  	; throwoil
  131:   $000430     $00126C     MOVE.W    #$0009,-(A7)	_LoadSeg  	; OutlineButton
  132:   $000438     $0012D4     MOVE.W    #$0009,-(A7)	_LoadSeg  	; poison
  133:   $000440     $00131C     MOVE.W    #$0009,-(A7)	_LoadSeg  	; PutIn
  134:   $000448     $00145C     MOVE.W    #$0009,-(A7)	_LoadSeg  	; code9-anon4
  135:   $000450     $00148E     MOVE.W    #$0009,-(A7)	_LoadSeg  	; Speed
  136:   $000458     $001578     MOVE.W    #$0009,-(A7)	_LoadSeg  	; code9-anon5
  137:   $000460     $0015A0     MOVE.W    #$0009,-(A7)	_LoadSeg  	; HeroStatus
  138:   $000468     $001764     MOVE.W    #$0009,-(A7)	_LoadSeg  	; UpdateTherm
  139:   $000470     $00182C     MOVE.W    #$0009,-(A7)	_LoadSeg  	; InitStatus
  140:   $000478     $0019B4     MOVE.W    #$0009,-(A7)	_LoadSeg  	; UpdateCompass
  141:   $000480     $0019D4     MOVE.W    #$0009,-(A7)	_LoadSeg  	; Compass
  142:   $000488     $001A86     MOVE.W    #$0009,-(A7)	_LoadSeg  	; code9-anon6
  143:   $000490     $001B0E     MOVE.W    #$0009,-(A7)	_LoadSeg  	; AddHealth
  144:   $000498     $001BB6     MOVE.W    #$0009,-(A7)	_LoadSeg  	; code9-anon7
  145:   $0004A0     $001BEA     MOVE.W    #$0009,-(A7)	_LoadSeg  	; food
  146:   $0004A8     $001D46     MOVE.W    #$0009,-(A7)	_LoadSeg  	; digest
  147:   $0004B0     $001DDA     MOVE.W    #$0009,-(A7)	_LoadSeg  	; strlen
  148:   $0004B8     $001E02     MOVE.W    #$0009,-(A7)	_LoadSeg  	; myTEInsert
  149:   $0004C0     $001E2E     MOVE.W    #$0009,-(A7)	_LoadSeg  	; Pstrcpy
  150:   $0004C8     $001EAC     MOVE.W    #$0009,-(A7)	_LoadSeg  	; PstrEqual
  151:   $0004D0     $001F32     MOVE.W    #$0009,-(A7)	_LoadSeg  	; mystrncat
  152:   $0004D8     $001F7C     MOVE.W    #$0009,-(A7)	_LoadSeg  	; strncmp
  153:   $0004E0     $002032     MOVE.W    #$0009,-(A7)	_LoadSeg  	; atol
  154:   $0004E8     $0020E8     MOVE.W    #$0009,-(A7)	_LoadSeg  	; Talisman
  155:   $0004F0     $002146     MOVE.W    #$0009,-(A7)	_LoadSeg  	; MummyDearest
  156:   $0004F8     $002174     MOVE.W    #$0009,-(A7)	_LoadSeg  	; tprintf
  157:   $000500     $00231A     MOVE.W    #$0009,-(A7)	_LoadSeg  	; Pi2d
  158:   $000508     $0023BC     MOVE.W    #$0009,-(A7)	_LoadSeg  	; rand
  159:   $000510     $0023F0     MOVE.W    #$0009,-(A7)	_LoadSeg  	; WaitForClick
  160:   $000518     $00241E     MOVE.W    #$0009,-(A7)	_LoadSeg  	; TellUser
  161:   $000520     $00244E     MOVE.W    #$0009,-(A7)	_LoadSeg  	; AskUser
  162:   $000528     $002488     MOVE.W    #$0009,-(A7)	_LoadSeg  	; code9-anon8
  163:   $000530     $002606     MOVE.W    #$0009,-(A7)	_LoadSeg  	; Beep
  164:   $000538     $000928     MOVE.W    #$0009,-(A7)	_LoadSeg  	; CreateThing
  165:   $000540     $000B9E     MOVE.W    #$0009,-(A7)	_LoadSeg  	; LoseThing
  166:   $000548     $000AC8     MOVE.W    #$0009,-(A7)	_LoadSeg  	; MakeThing
  167:   $000550     $000BC0     MOVE.W    #$0009,-(A7)	_LoadSeg  	; code9-anon1
  168:   $000558     $00089A     MOVE.W    #$0009,-(A7)	_LoadSeg  	; LookForTraps
  169:   $000560     $00029C     MOVE.W    #$0009,-(A7)	_LoadSeg  	; howmuch
  170:   $000568     $0002BC     MOVE.W    #$0009,-(A7)	_LoadSeg  	; GetAmount
  171:   $000570     $00054E     MOVE.W    #$0009,-(A7)	_LoadSeg  	; WaitForMouseUp
  172:   $000578     $000036     MOVE.W    #$0009,-(A7)	_LoadSeg  	; CanPickUp
  173:   $000580     $000000     MOVE.W    #$0009,-(A7)	_LoadSeg  	; benchmark
  174:   $000588     $000000     MOVE.W    #$000D,-(A7)	_LoadSeg  	; code13-anon0
  175:   $000590     $000000     MOVE.W    #$000F,-(A7)	_LoadSeg  	; pickmelon
  176:   $000598     $000098     MOVE.W    #$000F,-(A7)	_LoadSeg  	; eatmelon
  177:   $0005A0     $000000     MOVE.W    #$0017,-(A7)	_LoadSeg  	; SaveGame
  178:   $0005A8     $000DC8     MOVE.W    #$0017,-(A7)	_LoadSeg  	; MakeAFile
  179:   $0005B0     $00122E     MOVE.W    #$0017,-(A7)	_LoadSeg  	; SaveErr
  180:   $0005B8     $001260     MOVE.W    #$0017,-(A7)	_LoadSeg  	; myWrite
  181:   $0005C0     $000872     MOVE.W    #$0017,-(A7)	_LoadSeg  	; ResumeGame
  182:   $0005C8     $0012EA     MOVE.W    #$0017,-(A7)	_LoadSeg  	; myRead
  183:   $0005D0     $00063E     MOVE.W    #$001B,-(A7)	_LoadSeg  	; TopTen
  184:   $0005D8     $000908     MOVE.W    #$001B,-(A7)	_LoadSeg  	; doTopTen
  185:   $0005E0     $0012B6     MOVE.W    #$001B,-(A7)	_LoadSeg  	; TSFilter
  186:   $0005E8     $000000     MOVE.W    #$001B,-(A7)	_LoadSeg  	; FullStatus
  187:   $0005F0     $000170     MOVE.W    #$001B,-(A7)	_LoadSeg  	; doFullStatus
  188:   $0005F8     $000620     MOVE.W    #$001B,-(A7)	_LoadSeg  	; FSFilter
  189:   $000600     $000000     MOVE.W    #$001C,-(A7)	_LoadSeg  	; mummy
  190:   $000608     $0000A6     MOVE.W    #$001C,-(A7)	_LoadSeg  	; code28-anon0
  191:   $000610     $000118     MOVE.W    #$001C,-(A7)	_LoadSeg  	; throwScarab
  192:   $000618     $0001A8     MOVE.W    #$001C,-(A7)	_LoadSeg  	; MummyMaker
  193:   $000620     $000000     MOVE.W    #$0014,-(A7)	_LoadSeg  	; pickcompass
  194:   $000628     $00002C     MOVE.W    #$0014,-(A7)	_LoadSeg  	; dropcompass
  195:   $000630     $00006E     MOVE.W    #$0014,-(A7)	_LoadSeg  	; throwcompass
  196:   $000638     $000090     MOVE.W    #$0014,-(A7)	_LoadSeg  	; usecompass
  197:   $000640     $00039A     MOVE.W    #$001D,-(A7)	_LoadSeg  	; doHelp
  198:   $000648     $0005A8     MOVE.W    #$001D,-(A7)	_LoadSeg  	; HDoScroll
  199:   $000650     $00001A     MOVE.W    #$001D,-(A7)	_LoadSeg  	; HelpMenu
  200:   $000658     $0000BA     MOVE.W    #$001D,-(A7)	_LoadSeg  	; Help
  201:   $000660     $0002EC     MOVE.W    #$001D,-(A7)	_LoadSeg  	; HelpButtons
  202:   $000668     $0007BA     MOVE.W    #$001D,-(A7)	_LoadSeg  	; hShowScroll

